GeneID_NCBI;Symbol_HGNC;Aliases;GenePanels_Symbol;GenePanel;Column1;;Symbol_HGNC;GenePanels_Symbol;
103;ADAR;ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136;ADAR;"BEWEGING (AR);DERM (AD,AR);IMMUUN (AR);MR (AR);OMIM (AR;AD,AR);PCS (AR)";;;ADAR;ADAR;
104;ADARB1;ADAR2|DRABA2|DRADA2|NEDHYMS|RED1;ADARB1;"MR (AR);OMIM (AR);PCS (AR)";;;ADARB1;ADARB1;
113179;ADAT3;FWP005|MRT36|MST121|MSTP121|S863-5|TAD3;ADAT3;"MR (AR);OMIM (AR);PCS (AR)";;;ADAT3;ADAT3;
90956;ADCK2;AARF;ADCK2;"OMIM (AR);OXPHOS (AR)";;;ADCK2;ADCK2;
203054;ADCK5;;ADCK5;"METAB (AR);OMIM (AR)";;;ADCK5;ADCK5;
107;ADCY1;AC1|DFNB44;ADCY1;"DOOF (AR);OMIM (AR);PCS (AR)";;;ADCY1;ADCY1;
55811;ADCY10;HCA2|HEL-S-7a|SAC|SACI|Sacy|hsAC;ADCY10;"NIER (AD);OMIM (AD)";;;ADCY10;ADCY10;
109;ADCY3;AC-III|AC3|BMIQ19;ADCY3;"DSD (AR);HH (AR);OMIM (AR)";;;ADCY3;ADCY3;
111;ADCY5;AC5|FDFM;ADCY5;"BEWEGING (AD);HART (AD);METAB (AR);OMIM (AD;AR)";;;ADCY5;ADCY5;
112;ADCY6;AC6|LCCS8;ADCY6;"AKI (AR);OMIM (AR);PCS (AR)";;;ADCY6;ADCY6;
120;ADD3;ADDL|CPSQ3;ADD3;"OMIM (AR);PCS (AR)";;;ADD3;ADD3;
30817;ADGRE2;CD312|CD97|EMR2|VBU;ADGRE2;OMIM (AD);;;ADGRE2;ADGRE2;
9289;ADGRG1;BFPP|BPPR|GPR56|TM7LN4|TM7XN1;ADGRG1;"BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)";;;ADGRG1;ADGRG1;
10149;ADGRG2;CBAVDX|EDDM6|GPR64|HE6|TM7LN2;ADGRG2;OMIM (XL);;;ADGRG2;ADGRG2;
57211;ADGRG6;APG1|DREG|GPR126|LCCS9|PR126|PS1TP2|VIGR;ADGRG6;"AKI (AR);OMIM (AR);PCS (AR)";;;ADGRG6;ADGRG6;
84059;ADGRV1;FEB4|GPR98|MASS1|USH2B|USH2C|VLGR1|VLGR1b;ADGRV1;"BLIND (AR);DOOF (AR);OMIM (AD,AR);PCS (AR)";;;ADGRV1;ADGRV1;
9370;ADIPOQ;ACDC|ACRP30|ADIPQTL1|ADPN|APM-1|APM1|GBP28;ADIPOQ;"ANEURYSM (AR);OMIM (UK,AR,AD,XL)";;;ADIPOQ;ADIPOQ;
51094;ADIPOR1;ACDCR1|CGI-45|CGI45|PAQR1|TESBP1A;ADIPOR1;"BLIND (AD);OMIM (AD)";;;ADIPOR1;ADIPOR1;
132;ADK;AK;ADK;"LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ADK;ADK;
23394;ADNP;ADNP1|HVDAS|MRD28;ADNP;"MR (AD);OMIM (AD)";;;ADNP;ADNP;
54936;ADPRS;ADPRHL2|ARH3|CONDSIAS;ADPRS;"BEWEGING (AR);HMSN (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ADPRS;ADPRS;
154;ADRB2;ADRB2R|ADRBR|B2AR|BAR|BETA2AR;ADRB2;OMIM (UK,AR,AD,XL);;;ADRB2;ADRB2;
158;ADSL;AMPS|ASASE|ASL;ADSL;"EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;ADSL;ADSL;
122622;ADSS1;ADSSL1|MPD5;ADSS1;"OMIM (AR);PCS (AR)";;;ADSS1;ADSS1;
165;AEBP1;ACLP;AEBP1;"OMIM (AR;AD);PCS (AR)";;;AEBP1;AEBP1;
2334;AFF2;FMR2|FMR2P|FRAXE|MRX2|OX19;AFF2;"MR (XL);OMIM (XL;XLR)";;;AFF2;AFF2;
27125;AFF4;AF5Q31|CHOPS|MCEF;AFF4;"MR (AD);OMIM (AD)";;;AFF4;AFF4;
10939;AFG3L2;OPA12|SCA28|SPAX5;AFG3L2;"BEWEGING (AD);BLIND (AD);HMSN (AR);MR (AR);OMIM (AR;AD,AR);OXPHOS (AR);PCS (AR)";;;AFG3L2;AFG3L2;
174;AFP;AFPD|FETA|HPAFP;AFP;OMIM (AR);;;AFP;AFP;
175;AGA;AGU|ASRG|GA;AGA;"BEWEGING (AR);DERM (AR);EPI (AR);IMMUUN (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;AGA;AGA;
123624;AGBL1;CCP4|FECD8;AGBL1;"BLIND (AD);OMIM (AD)";;;AGBL1;AGBL1;
60509;AGBL5;CCP5|RP75;AGBL5;"BLIND (AR);OMIM (AR);PCS (AR)";;;AGBL5;AGBL5;
55750;AGK;CATC5|CTRCT38|MTDPS10|MULK;AGK;"BLIND (AR);HART (AR);METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;AGK;AGK;
178;AGL;GDE;AGL;"HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;AGL;AGL;
392636;AGMO;TMEM195;AGMO;"MR (AR);OMIM (AR)";;;AGMO;AGMO;
27161;AGO2;CASC7|EIF2C2|LESKRES|LINC00980|PPD|Q10;AGO2;"MR (AD);OMIM (AD)";;;AGO2;AGO2;
10555;AGPAT2;1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta;AGPAT2;"DERM (AR);HART (AR);METAB (AR);OMIM (AR);PCS (AR)";;;AGPAT2;AGPAT2;
8540;AGPS;ADAP-S|ADAS|ADHAPS|ADPS|ALDHPSY|RCDP3;AGPS;"LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)";;;AGPS;AGPS;
375790;AGRN;AGRIN|CMS8|CMSPPD;AGRN;"HMSN (AR);OMIM (AR);PCS (AR);SPIER (AR)";;;AGRN;AGRN;
183;AGT;ANHU|SERPINA8|hFLT1;AGT;"NIER (AR);OMIM (AR);PCS (AR)";;;AGT;AGT;
23287;AGTPBP1;CCP1|CONDCA|NNA1;AGTPBP1;"BEWEGING (AR);HMSN (AR);MR (AR);OMIM (AR);PCS (AR)";;;AGTPBP1;AGTPBP1;
185;AGTR1;AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R;AGTR1;"ANEURYSM (AD);NIER (AR);OMIM (AR;AD);PCS (AR)";;;AGTR1;AGTR1;
189;AGXT;AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6;AGXT;"METAB (AR);NIER (AR);OMIM (AR);PCS (AR)";;;AGXT;AGXT;
191;AHCY;SAHH|adoHcyase;AHCY;"LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;AHCY;AHCY;
27245;AHDC1;MRD25|XIGIS;AHDC1;"MR (AD);OMIM (AD)";;;AHDC1;AHDC1;
54806;AHI1;AHI-1|JBTS3|ORF1|dJ71N10.1;AHI1;"BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)";;;AHI1;AHI1;
196;AHR;RP85|bHLHe76;AHR;"BLIND (AR);OMIM (AR);PCS (AR)";;;AHR;AHR;
197;AHSG;A2HS|AHS|APMR1|FETUA|HSGA;AHSG;"MR (AR);OMIM (AR);PCS (AR)";;;AHSG;AHSG;
57379;AICDA;AID|ARP2|CDA2|HEL-S-284|HIGM2;AICDA;"IMMUUN (AD,AR);OMIM (AR;AD,AR);PCS (AR)";;;AICDA;AICDA;
9131;AIFM1;AIF|AUNX1|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8|SEMDHL;AIFM1;"DOOF (XL);HMSN (XL);LENGTE (XL);MR (XLR);OMIM (XLR);OXPHOS (XL)";;;AIFM1;AIFM1;
9255;AIMP1;EMAP2|EMAPII|HLD3|SCYE1|p43;AIMP1;"BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)";;;AIMP1;AIMP1;
7965;AIMP2;HLD17|JTV-1|JTV1|P38;AIMP2;"MR (AR);OMIM (AR);PCS (AR)";;;AIMP2;AIMP2;
9049;AIP;ARA9|FKBP16|FKBP37|PITA1|SMTPHN|XAP-2|XAP2;AIP;"OMIM (UK,AR,AD,XL);TUMOR (AD)";;;AIP;AIP;
23746;AIPL1;AIPL2|LCA4;AIPL1;"BLIND (AR);OMIM (AR);PCS (AR)";;;AIPL1;AIPL1;
326;AIRE;AIRE1|APECED|APS1|APSI|PGA1;AIRE;"DERM (AD,AR);DSD (AD,AR);IMMUUN (AD,AR);OMIM (AR;AD,AR);PCS (AR)";;;AIRE;AIRE;
203;AK1;HTL-S-58j;AK1;"METAB (AR);OMIM (AR);PCS (AR)";;;AK1;AK1;
204;AK2;ADK2;AK2;"IMMUUN (AR);METAB (AR);OMIM (AR);PCS (AR);SCID (AR)";;;AK2;AK2;
122481;AK7;AK 7|CFAP75|FAP75|SPGF27;AK7;OMIM (AR);;;AK7;AK7;
10142;AKAP9;AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO;AKAP9;"HART (AD);OMIM (AD)";;;AKAP9;AKAP9;
1645;AKR1C1;2-ALPHA-HSD|20-ALPHA-HSD|C9|DD1|DD1/DD2|DDH|DDH1|H-37|HAKRC|HBAB|MBAB;AKR1C1;"METAB (AD);OMIM (AD)";;;AKR1C1;AKR1C1;
1646;AKR1C2;AKR1C-pseudo|BABP|DD|DD-2|DD/BABP|DD2|DDH2|HAKRD|HBAB|MCDR2|SRXY8|TDD;AKR1C2;"DSD (AR);OMIM (AR)";;;AKR1C2;AKR1C2;
6718;AKR1D1;3o5bred|CBAS2|SRD5B1;AKR1D1;"LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)";;;AKR1D1;AKR1D1;
207;AKT1;AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA;AKT1;"DERM (AD);OMIM (UK,AR,AD,XL);TUMOR (AD)";;;AKT1;AKT1;
208;AKT2;HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA;AKT2;OMIM (AD);;;AKT2;AKT2;
10000;AKT3;MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2;AKT3;"DERM (AD);MR (AD);OMIM (AD)";;;AKT3;AKT3;
210;ALAD;ALADH|PBGS;ALAD;"DERM (AR);METAB (AR);OMIM (AR);PCS (AR)";;;ALAD;ALAD;
212;ALAS2;ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA;ALAS2;"DERM (XL);IJZER (XL);METAB (XL);OMIM (XL)";;;ALAS2;ALAS2;
